332,549,933 ,534,558,552,508
333,551,935 ,534,562,552,509
334,551,938 ,536,564,556,512
335,553,940 ,537,566,556,513
336,555,942 ,540,566,559,514
337,555,944 ,542,570,559,516
338,557,947 ,542,572,562,518
339,558,949 ,545,573,565,520
340,559,951 ,545,576,567,521
341,560,955 ,547,578,567,524
342,563,958 ,549,578,569,526
343,564,961 ,550,581,570,528
344,565,965 ,552,581,573,530
345,566,969 ,555,583,573,530
346,567,972 ,555,586,575,533
347,568,974 ,557,587,576,535
348,568,978 ,557,588,579,535
349,570,982 ,561,590,579,537
350,570,983 ,561,590,582,537
351,572,985 ,564,593,582,541
352,574,987 ,565,593,584,542
353,576,990 ,566,596,586,543
354,578,992 ,568,598,588,545
355,578,994 ,569,598,590,546
356,581,996 ,572,601,591,547
357,583,1001,572,604,593,550
358,584,1004,575,605,593,550
359,586,1006,575,608,596,552
360,586,1011,578,608,596,554
361,588,1014,578,611,599,555
362,588,1016,580,613,599,557
363,592,1019,583,613,602,559
364,592,1021,583,615,602,560
365,594,1024,585,616,606,563
366,595,1028,585,619,608,563
367,596,1032,587,620,610,565
368,597,1035,588,622,611,566
369,597,1037,590,624,613,567
370,601,1040,590,625,613,570
371,601,1043,592,626,616,571
372,603,1047,593,629,618,571
373,603,1050,595,629,618,573
374,607,1052,595,632,621,575
375,609,1055,598,634,622,575
376,611,1058,598,634,624,578
377,614,1061,601,636,626,578
378,616,1065,602,636,628,580
379,617,1069,604,639,630,580
380,620,1073,604,641,630,584
381,621,1078,607,642,632,585
382,623,1081,609,644,634,587
383,625,1084,611,644,636,589
384,627,1087,612,647,638,590
385,627,1092,614,647,640,593
386,630,1095,616,650,642,594
387,630,1098,617,652,644,596
388,633,1100,619,652,647,597
389,635,1104,621,655,647,600
390,637,1107,622,656,649,600
391,637,1110,624,658,652,603
392,640,1114,624,661,653,603
393,642,1119,627,661,657,605
394,644,1122,629,663,657,606
395,646,1125,629,664,660,609
396,649,1128,632,666,661,609
397,649,1132,632,668,664,611
398,652,1135,634,670,666,613
399,655,1137,638,671,668,615
400,656,1141,638,674,670,617
401,659,1146,640,674,672,617
402,660,1149,643,676,673,619
403,662,1153,645,676,676,621
404,662,1157,646,678,678,622
405,664,1161,647,678,678,623
406,665,1165,649,681,682,624
407,666,1169,651,681,685,626
408,669,1173,652,684,686,627
409,670,1176,654,686,688,629
410,672,1178,656,686,690,632
411,672,1181,660,688,690,633
412,675,1183,662,689,693,634
413,676,1186,663,691,695,636
414,678,1189,665,692,697,638
415,681,1192,665,695,700,640
416,683,1194,668,697,702,642
417,685,1197,670,699,704,645
418,688,1200,671,701,706,646
419,690,1202,673,702,708,648
420,692,1205,674,704,708,650
421,694,1207,675,705,711,651
422,695,1210,676,708,712,654
423,697,1213,679,709,714,654
424,698,1215,679,711,715,656
425,700,1218,681,714,717,656
426,702,1220,682,714,717,659
427,703,1223,684,716,719,659
428,705,1225,685,718,720,662
429,706,1228,687,719,724,662
430,708,1232,687,720,724,664
431,708,1236,690,722,726,666
432,711,1241,693,724,726,667
433,711,1245,695,724,729,668
434,713,1248,697,727,729,670
435,713,1250,700,729,731,672
436,715,1253,702,731,731,672
437,716,1255,704,733,734,674
438,719,1258,704,734,734,677
439,719,1262,706,737,736,679
440,721,1265,707,737,737,682
441,721,1268,709,739,739,683
442,723,1271,710,741,740,684
443,725,1275,712,743,743,685
444,727,1279,713,745,745,688
445,728,1284,716,746,746,689
446,730,1286,716,747,747,690
447,731,1289,718,750,748,691
448,733,1293,719,750,750,693
449,733,1296,721,752,753,695
450,735,1299,722,754,753,697
451,737,1303,725,756,755,698
452,738,1307,727,758,755,699
453,740,1311,728,759,757,701
454,741,1313,730,760,758,701
455,743,1318,730,761,759,704
456,743,1321,732,762,760,706
457,745,1323,732,765,763,707
458,745,1326,735,765,765,709
459,747,1329,737,767,767,709
460,750,1331,739,768,769,712
461,751,1334,740,770,771,712
462,753,1338,741,771,772,714
463,753,1343,742,774,776,714
464,756,1347,744,776,776,718
465,756,1350,744,778,778,720
466,759,1354,746,778,780,722
467,759,1360,747,781,782,722
468,761,1364,749,783,782,725
469,762,1369,749,785,784,726
470,763,1372,751,788,786,729
471,766,1377,752,789,787,730
472,766,1382,754,791,789,731
473,768,1385,754,793,791,733
474,768,1388,757,795,794,734
475,771,1390,759,797,794,737
476,773,1395,761,797,796,739
477,775,1398,761,800,796,739
478,776,1402,763,802,798,741
479,779,1405,766,802,800,742
480,779,1407,766,804,802,744
481,782,1410,768,805,804,746
482,784,1416,769,807,805,748
483,784,1418,771,807,806,750
484,787,1421,772,809,809,752
485,787,1424,774,811,809,752
486,789,1429,775,812,811,754
487,789,1431,778,815,812,754
488,791,1434,778,816,814,757
489,793,1437,780,817,815,757
490,796,1440,783,817,817,759
491,798,1443,783,820,817,761
492,799,1446,785,822,820,761
493,801,1449,786,824,820,763
494,803,1452,788,826,822,764
495,804,1455,788,827,823,766
496,806,1458,791,829,825,769
497,806,1461,793,831,827,770
498,809,1464,794,831,828,772
499,811,1469,796,834,830,773
500,811,1474,796,837,833,774
501,813,1478,799,837,833,776
502,814,1481,800,840,835,778
503,816,1485,802,841,837,779
504,816,1491,802,844,838,781
505,819,1496,804,844,839,783
506,821,1501,804,846,841,784
507,821,1506,807,847,844,785
508,823,1510,807,849,846,787
509,824,1513,811,851,848,789
510,826,1518,811,851,851,790
511,828,1527,815,853,853,792
512,828,1530,815,855,853,792
